static_text,log_level,preprocessed_text
Adding high-level (L*) * to candidates,info,ad l candid
Interrupted while waiting for tasks to be terminated,error,interrupt wait task termin
Partitioner does not support splitting,info,partition support split
Relocate cannot run before a node has joined the ring,info,reloc run node join ring
Major compaction will not result in a single sstable - repaired and unrepaired data is kept separate and compaction runs per data_file_directory.,info,major compact result singl sstabl repair unrepair data kept separ compact run per
"Compaction executor has shut down, not submitting task",info,compact executor shut submit task
Cleanup cannot run before a node has joined the ring,error,cleanup run node join ring
forceUserDefinedCleanup failed: *,error,forceuserdefinedcleanup fail
Will not compact *: it is not an active sstable,info,compact activ sstabl
No files to compact for user defined compaction,info,file compact user defin compact
Could not reference sstables,error,could refer sstabl
Performing anticompaction on * sstables,info,perform anticompact sstabl
$$$Empty Message$$$,info,empti messag
"No valid anticompactions for this group, All sstables were compacted and are no longer available",info,valid anticompact group sstabl compact longer avail
Anticompacting *,info,anticompact
Error anticompacting ,error,error anticompact
"Compaction executor has shut down, not submitting index build",info,compact executor shut submit index build
$$$Empty Message$$$,info,empti messag
"Executor has been shut down, not submitting *",info,executor shut submit
"Executor has shut down, could not submit *",info,executor shut could submit
Failed to submit *,error,fail submit
Compaction space check is disabled,info,compact space check disabl
Switching local compaction strategy from * to *},info,switch local compact strategi
Failed to read records for transaction log *,error,fail read record transact log
"Mismatched line in file *: got '*' expected '*', giving up",error,mismatch line file got expect give
"Mismatched line in file *: got '*' expected '*', giving up",error,mismatch line file got expect give
Failed to add record '*' to some replicas '*',error,fail add record replica
"Unable to delete * as it does not exist, see debug log file for stack trace",error,unabl delet exist see debug log file stack trace
Unable to delete *,error,unabl delet
"Transaction log * indicates txn was not completed, trying to abort it now",error,transact log indic txn complet tri abort
Failed to abort transaction log *,error,fail abort transact log
"Failed deleting files for transaction log *, we'll retry after GC and on on server restart",info,fail delet file transact log retri gc server restart
SSTableTidier ran with no existing data file for an sstable that was not new,error,sstabletidi ran exist data file sstabl new
"Failed deletion for *, we'll retry after GC and on server restart",error,fail delet retri gc server restart
Failed to complete file transaction id *,error,fail complet file transact id
Failed to remove unfinished transaction leftovers for transaction log *,error,fail remov unfinish transact leftov transact log
Unexpected disk state: failed to read transaction log *,error,unexpect disk state fail read transact log
Failed with [*] when decoding the byte buffer in ByteBufferUtil.string(),error,fail decod byte buffer
"Failed to parse value string ""*"" with exception: [*]",error,fail pars valu string except
"Scheduling monitoring task with report interval of * ms, max operations *",info,schedul monitor task report interv ms max oper
"Some operations were slow, details available at debug level (debug.log)",info,oper slow detail avail debug level
"[*] Logging iterator on *.*, partition key=*, reversed=*",info,log iter partit
[*] *,info,
[*] *,info,
"[*] Logging iterator on *.*, partition key=*, reversed=*, deletion=*",info,log iter partit
[*] *,info,
[*] *,info,
[*] *,info,
Not submitting build tasks for views in keyspace * as storage service is not initialized,info,submit build task view keyspac storag servic initi
tokens manually specified as *,info,token manual specifi
Generated random tokens. tokens are *,info,gener random token token
Some ranges of * are already available. Skipping streaming those ranges.,info,rang alreadi avail skip stream rang
Using NoReplicationTokenAllocator.,info,use noreplicationtokenalloc
Using ReplicationAwareTokenAllocator.,info,use replicationawaretokenalloc
Gossip error,error,gossip error
"removed * from seeds, updated seeds list = *",info,remov seed updat seed list
Removing host: *,info,remov host
Sleeping for *ms to ensure * does not change,info,sleep ms ensur chang
Advertising removal for *,info,advertis remov
Completing removal of *,info,complet remov
Sleeping for *ms to ensure * does not change,info,sleep ms ensur chang
"FatClient * has been silent for *ms, removing from gossip",info,fatclient silent ms remov gossip
InetAddress * is now UP,info,inetaddress
InetAddress * is now DOWN,info,inetaddress
"Node * has restarted, now UP",info,node restart
Node * is now part of the cluster,info,node part cluster
There is at least one 3.0 node in the cluster - will store and announce compatible schema version,info,least one node cluster store announc compat schema version
Announcing shutdown,info,announc shutdown
Waiting for gossip to settle...,info,wait gossip settl
Gossip not settled after * polls.,info,gossip settl poll
Gossip settled after * extra polls; proceeding,info,gossip settl extra poll proceed
No gossip backlog; proceeding,info,gossip backlog proceed
Overriding FD INITIAL_VALUE to *ms,info,overrid fd ms
Unknown endpoint:  | ,error,unknown endpoint
Overriding FD MAX_INTERVAL to *ms,info,overrid fd ms
failed to connect to any initial addresses,error,fail connect initi address
$$$Empty Message$$$,error,empti messag
Deleted hint file *,info,delet hint file
Failed to delete hint file *,error,fail delet hint file
Transferring all hints to *: *,info,transfer hint
Transferring all hints to *: *,info,transfer hint
Failed to transfer all hints to *: *,error,fail transfer hint
Failed to dispatch hints file *: file is corrupted (*),error,fail dispatch hint file file corrupt
Finished hinted handoff of file * to endpoint *: *,info,finish hint handoff file endpoint
"Finished hinted handoff of file * to endpoint *: *, partially",info,finish hint handoff file endpoint partial
Finished converting hints file *,info,finish convert hint file
Failed to deserialize hints descriptor *,error,fail deseri hint descriptor
Paused hints dispatch,info,paus hint dispatch
Resumed hints dispatch,info,resum hint dispatch
Migrating legacy hints to new storage,info,migrat legaci hint new storag
Forcing a major compaction of *.* tablesystemhints,info,forc major compact tablesystemhint
Writing legacy hints to the new storage,info,write legaci hint new storag
Truncating *.* tablesystemhints,info,truncat tablesystemhint
Failed to migrate a hint for * from legacy *.* tablesystemhints,error,fail migrat hint legaci tablesystemhint
No defined indexes with the supplied names: *,info,defin index suppli name
Index build of * complete,info,index build complet
Executing pre-join* tasks for: *,info,execut task
failed to flush indexes: * because flush task is missing.,error,fail flush index flush task miss
"No SSTable data for *.* to build index * from, marking empty index as built",info,sstabl data build index mark empti index built
Submitting index build of * for data in *,info,submit index build data
Index build of * complete,info,index build complet
Search Concurrency Factor is set to * for *,info,search concurr factor set
Failed to deserialize value with ,error,fail deseri valu
Failed to get stemmer constructor,error,fail get stemmer constructor
An unhandled exception to occurred while processing pipeline [*],info,unhandl except occur process pipelin
Failed to populate Stop Words Cache for language [*],error,fail popul stop word cach languag
Failed to retrieve Stop Terms resource for language [*],error,fail retriev stop term resourc languag
Failed to create new instance of analyzer with class [*],error,fail creat new instanc analyz class
Failed to find specified analyzer class [*]. Falling back to default analyzer,error,fail find specifi analyz class fall back default analyz
"failed to parse * option, defaulting to 'false'.is_literal",error,fail pars option default
"SSTableIndex.open(column: *, minTerm: *, maxTerm: *, minKey: *, maxKey: *, sstable: *)",info,column minterm maxterm minkey maxkey sstabl
"Can't open index file at  | , skipping.",error,ca open index file skip
"Rejecting value (size *, maximum *) for column * (analyzed *) at * SSTable.",info,reject valu size maximum column analyz sstabl
"(*) Failed to add * to index for key: *, value size was *, validator is *.",info,fail add index key valu size valid
Scheduling index flush to *,info,schedul index flush
"Rejecting value (value size *, maximum size *).",error,reject valu valu size maximum size
"Can't add column * to index for key: *, value size *, validator: *.",error,ca add column index key valu size valid
"Can't add term of column * to index for key: *, term size *, max allowed size *, use analyzed = true (if not yet set) for that column.",info,ca add term column index key term size max allow size use analyz true yet set column
"Can't cast value for * to size accepted by *, value size is *.",error,ca cast valu size accept valu size
Redistributing index summaries,info,redistribut index summari
Initializing index summary manager with a memory pool size of * MB and a resize interval of * minutes,info,initi index summari manag memori pool size mb resiz interv minut
Missing component: *,error,miss compon
Successfully deleted snapshot *.,info,success delet snapshot
"Memory capacity of index summary exceeded (2GB), index summary will not cover full sstable, you should increase min_sampling_level",error,memori capac index summari exceed 2gb index summari cover full sstabl increas
Missing sstable component in *; skipped because of *,error,miss sstabl compon skip
Corrupt sstable *; skipped,error,corrupt sstabl skip
Corrupt sstable *; skipping table,error,corrupt sstabl skip tabl
"Cannot read sstable *; file system error, skipping table",error,read sstabl file system error skip tabl
"Cannot read sstable *; other IO error, skipping table",error,read sstabl io error skip tabl
"Key size * exceeds maximum of *, skipping row65535",error,key size exce maximum skip row65535
Failed to list files in * with exception: *,error,fail list file except
Error while getting * folder size. *,error,error get folder size
Error while closing mmapped regions,error,error close mmap region
Failed to close mapped regions,error,fail close map region
"EC2Snitch using region: *, zone: *.",info,ec2snitch use region zone
Updating topology for all endpoints that have changed,info,updat topolog endpoint chang
Error in getting the IP address resolved: ,error,error get ip address resolv
"* found, but does not look like a plain file. Will not watch it for changescassandra-topology.properties",error,found look like plain file watch
"Cannot update data center or rack from * to * for live host *, property file NOT RELOADED",error,updat data center rack live host properti file reload
"GCESnitch using region: *, zone: *.",info,gcesnitch use region zone
EC2Snitch using publicIP as identifier: *,info,ec2snitch use publicip identifi
"broadcast_rpc_address unset, broadcasting public IP as rpc_address: *",info,unset broadcast public ip
Loaded * for compatibilitycassandra-topology.properties,info,load
Unable to load *; compatibility mode disabledcassandra-topology.properties,info,unabl load compat mode
Error while reading from socket from *.,error,error read socket
"Initialized back-pressure with high ratio: *, factor: *, flow: *, window size: *.",info,initi high ratio factor flow window size
* currently applied for remote replicas: *,info,current appli remot replica
"Cannot apply * due to exceeding write timeout, pausing * nanoseconds instead.",info,appli due exceed write timeout paus nanosecond instead
$$$Empty Message$$$,error,empti messag
error processing a message intended for *,error,error process messag intend
error writing to *,error,error write
SSL handshake error for outbound connection to ,error,ssl handshak error outbound connect
Starting Encrypted Messaging Service on SSL port *,info,start encrypt messag servic ssl port
$$$Empty Message$$$,info,empti messag
SSL handshake error for inbound connection from ,error,ssl handshak error inbound connect
MessagingService has terminated the accept() thread,info,messagingservic termin accept thread
[repair #*] *,info,repair
[repair #*] *,info,repair
[repair #*] *,info,repair
[repair #*] new session: will sync * on range * for *.*,info,repair new session sync rang
[repair #*] *,info,repair
[repair #*] *,error,repair
[repair #*] *Session completed successfully,info,repair session complet success
"Failed creating a merkle tree for *, * (see log for details)",error,fail creat merkl tree see log detail
[repair #*] Sending completed merkle tree to * for *.*,info,repair send complet merkl tree
Repair failed:,error,repair fail
$$$Empty Message$$$,info,empti messag
Repair failed:,error,repair fail
$$$Empty Message$$$,info,empti messag
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,info,empti messag
[repair #*] *,info,repair
[streaming task #*] Performing streaming repair of * ranges with *,info,stream task perform stream repair rang
"[repair #*] streaming task succeed, returning response to *",info,repair stream task succeed return respons
Error executing query ,error,error execut queri
Table *.* was dropped during snapshot phase of repair,error,tabl drop snapshot phase repair
"Got error, removing parent repair session",error,got error remov parent repair session
$$$Empty Message$$$,error,empti messag
[repair #*] Endpoint * died during anti-compaction,error,repair endpoint die
[repair #*] * is fully synced,info,repair fulli sync
[repair #*] *,info,repair
[repair #*] *,info,repair
Validating *,info,valid
Validating *,info,valid
[repair #*] *,info,repair
Validating *,info,valid
Validating *,info,valid
Started the RoundRobin Request Scheduler,info,start roundrobin request schedul
$$$Empty Message$$$,error,empti messag
restart cassandra with -Dcassandra.ignore_corrupted_schema_tables=true and ,error,restart cassandra
Moving * keyspaces from legacy schema tables to the new schema keyspace (*)system_schema,info,move keyspac legaci schema tabl new schema keyspac
Truncating legacy schema tables,info,truncat legaci schema tabl
Completed migration of legacy schema tables,info,complet migrat legaci schema tabl
Migrating keyspace *,info,migrat keyspac
Failed to find index name for legacy migration of index on *.*,error,fail find index name legaci migrat index
Indexer * does not have a static validateOptions method. Validation ignored,info,index static validateopt method valid ignor
initializing keystore from file *,info,initi keystor file
initializing CipherFactory,info,initi cipherfactori
key * removed from cipher key cache,info,key remov cipher key cach
loading secret key for alias *,info,load secret key alia
could not build cipher,error,could build cipher
$$$Empty Message$$$,info,empti messag
Cannot start multiple repair sessions over the same sstables,error,start multipl repair session sstabl
Cannot start multiple repair sessions over the same sstables,error,start multipl repair session sstabl
Initializing key cache with capacity of * MBs.,info,initi key cach capac mb
Initializing row cache with capacity of * MBs,info,initi row cach capac mb
Initializing counter cache with capacity of * MBs,info,initi counter cach capac mb
Exception in thread ,error,except thread
Exception in thread ,error,except thread
Exception in thread ,error,except thread
Trying to load metrics-reporter-config from file: *,info,tri load file
Hostname: *,info,hostnam
Could not resolve local host,info,could resolv local host
JVM vendor/version: */*,info,jvm
Heap size: */*,info,heap size
* *: *,info,
Classpath: *,info,classpath
JVM Arguments: *,info,jvm argument
Not starting client transports in write_survey mode as it's bootstrapping or auth is enabled,info,start client transport mode bootstrap auth enabl
Not starting client transports as bootstrap has not completed,info,start client transport bootstrap complet
Not starting native transport as requested. Use JMX (StorageService->startNativeTransport()) or nodetool (enablebinary) to start it,info,start nativ transport request use jmx startnativetransport nodetool enablebinari start
Not starting RPC server as requested. Use JMX (StorageService->startRPCServer()) or nodetool (enablethrift) to start it,info,start rpc server request use jmx startrpcserv nodetool enablethrift start
Cassandra shutting down...,info,cassandra shut
Error shutting down local JMX server: ,error,error shut local jmx server
Exception encountered during startup,error,except encount startup
Exception encountered during startup: *,error,except encount startup
$$$Empty Message$$$,error,empti messag
Skipped sending a migration request: node * has a higher major version now.,info,skip send migrat request node higher major version
Configuration exception merging remote schema,error,configur except merg remot schema
Overriding RING_DELAY to *ms,info,overrid ms
Stopping gossiper,error,stop gossip
Stopping RPC server,error,stop rpc server
Stopping native transport,error,stop nativ transport
Gathering node replacement information for *,info,gather node replac inform
Unable to gossip with any peers but continuing anyway since node is in its own seed list,info,unabl gossip peer continu anyway sinc node seed list
Populating token metadata from system tables,info,popul token metadata system tabl
Token metadata: *,info,token metadata
Cassandra version: *,info,cassandra version
Thrift API version: *20.1.0,info,thrift api version
CQL supported versions: * (default: *),info,cql support version default
Not starting gossip as requested.,info,start gossip request
Not joining ring as requested. Use JMX (StorageService->joinRing()) to initiate ring joining,info,join ring request use jmx joinr initi ring join
Loading persisted ring state,info,load persist ring state
Replace address on first boot requested; this node is already bootstrapped,info,replac address first boot request node alreadi bootstrap
Starting up server gossip,info,start server gossip
This node will not auto bootstrap because it is configured to be a seed node.,info,node auto bootstrap configur seed node
Using saved tokens *,info,use save token
"Startup complete, but write survey mode is active, not becoming an active ring member. Use JMX (StorageService->joinRing()) to finalize ring joining.",info,startup complet write survey mode activ becom activ ring member use jmx joinr final ring join
Joining ring by operator request,info,join ring oper request
Leaving write survey mode and joining ring at operator request,info,leav write survey mode join ring oper request
"rebuild from dc: *, *, *",info,rebuild dc
"adding range: (*,*]",info,ad rang
Error while rebuilding node,error,error rebuild node
set rpc timeout to * ms,info,set rpc timeout ms
set read rpc timeout to * ms,info,set read rpc timeout ms
set range rpc timeout to * ms,info,set rang rpc timeout ms
set write rpc timeout to * ms,info,set write rpc timeout ms
set counter write rpc timeout to * ms,info,set counter write rpc timeout ms
set cas contention rpc timeout to * ms,info,set ca content rpc timeout ms
set truncate rpc timeout to * ms,info,set truncat rpc timeout ms
set streaming socket timeout to * ms,info,set stream socket timeout ms
setstreamthroughput: throttle set to *,info,setstreamthroughput throttl set
setinterdcstreamthroughput: throttle set to *,info,setinterdcstreamthroughput throttl set
$$$Empty Message$$$,info,empti messag
Resetting bootstrap progress to start fresh,info,reset bootstrap progress start fresh
Bootstrap completed! for the tokens *,info,bootstrap complet token
Error while waiting on bootstrap to complete. Bootstrap will have to be restarted.,error,error wait bootstrap complet bootstrap restart
Resuming bootstrap...,info,resum bootstrap
"Startup complete, but write survey mode is active, not becoming an active ring member. Use JMX (StorageService->joinRing()) to finalize ring joining.",info,startup complet write survey mode activ becom activ ring member use jmx joinr final ring join
Resume complete,info,resum complet
$$$Empty Message$$$,error,empti messag
"Resuming bootstrap is requested, but the node is already bootstrapped.",info,resum bootstrap request node alreadi bootstrap
Node * state jump to bootstrap,info,node state jump bootstrap
Node * tried to replace malformed endpoint *.,error,node tri replac malform endpoint
Node * state jump to leaving,info,node state jump leav
Received removenode gossip about myself. Is this node rejoining after an explicit removenode?,info,receiv removenod gossip node rejoin explicit removenod
Removing tokens * for *,info,remov token
starting user-requested repair of range * for keyspace * and column families *,info,start repair rang keyspac column famili
failed to shutdown message service: *,info,fail shutdown messag servic
Error while decommissioning node ,error,error decommiss node
Announcing that I have left the ring for *ms,info,announc left ring ms
Invalid request to move(Token); This node has more than one token and cannot be moved thusly.,error,invalid request move token node one token move thusli
Received unexpected REPLICATION_FINISHED message from *. Was this node recently a removal coordinator?,info,receiv unexpect messag node recent remov coordin
"Created new dynamic snitch * with update-interval=*, reset-interval=*, badness-threshold=*",info,creat new dynam snitch
Created new non-dynamic snitch *,info,creat new snitch
"Applying config change to dynamic snitch * with update-interval=*, reset-interval=*, badness-threshold=*",info,appli config chang dynam snitch
Updated hinted_handoff_throttle_in_kb to *,info,updat
Migration task failed to complete,error,migrat task fail complet
Migration task was interrupted,error,migrat task interrupt
Create new Keyspace: *,info,creat new keyspac
Create new table: *,info,creat new tabl
Create new view: *,info,creat new view
Create scalar function '*',info,creat scalar function
Create aggregate function '*',info,creat aggreg function
Update Keyspace '*' From * To *,info,updat keyspac
Update table '*/*' From * To *,info,updat tabl
Update view '*/*' From * To *,info,updat view
Update type '*.*' to *,info,updat type
Drop Keyspace '*',info,drop keyspac
Drop table '*/*',info,drop tabl
Drop table '*/*',info,drop tabl
Drop scalar function overload '*' args '*',info,drop scalar function overload arg
Drop aggregate function overload '*' args '*',info,drop aggreg function overload arg
Starting local schema reset...,info,start local schema reset
Local schema reset is complete.,info,local schema reset complet
jemalloc preload explicitly disabled,info,jemalloc preload explicitli disabl
jemalloc seems to be preloaded from *,info,jemalloc seem preload
"cassandra.jmx.local.port missing from cassandra-env.sh, unable to start local JMX service.",error,miss unabl start local jmx servic
JMX is enabled to receive remote connections on port: *,info,jmx enabl receiv remot connect port
Failed to apply paxos commit locally : *,error,fail appli paxo commit local
Error applying local view update to keyspace *: *,error,error appli local view updat keyspac
Failed to apply mutation locally : *,error,fail appli mutat local
Failed to apply mutation locally : *,error,fail appli mutat local
$$$Empty Message$$$,error,empti messag
"Cannot perform truncate, some hosts are down",info,perform truncat host
Netty using native Epoll event loop,info,netti use nativ epol event loop
Netty using Java NIO event loop,info,netti use java nio event loop
"[Stream #*, ID#*] Beginning stream session with *",info,stream id begin stream session
[Stream #*] Session does not have any tasks.,info,stream session task
[Stream #*] Starting streaming to **,info,stream start stream
"[Stream #*] Did not receive response from peer ** for * secs. Is peer down? If not, maybe try increasing streaming_keep_alive_period_in_secs.",error,stream receiv respons peer sec peer mayb tri increas
[Stream #*] Streaming socket timed out. This means the session peer stopped responding or is still processing received data. If there is no sign of failure in the other end or a very dense table is being transferred you may want to increase streaming_socket_timeout_in_ms property. Current value is *ms.,error,stream stream socket time mean session peer stop respond still process receiv data sign failur end dens tabl transfer may want increas properti current valu ms
[Stream #*] Streaming error occurred on session with peer **,error,stream stream error occur session peer
[Stream #*] Remote peer * failed stream session.,error,stream remot peer fail stream session
[Stream #*] Session failed because remote peer * has left.,error,stream session fail remot peer left
[Stream #*] Session failed because remote peer * was restarted.,error,stream session fail remot peer restart
[Stream #*] Executing streaming plan for *,info,stream execut stream plan
[Stream #* ID#*] Creating new streaming plan for *,info,stream id creat new stream plan
"[Stream #*, ID#*] Received streaming plan for *",info,stream id receiv stream plan
"[Stream #* ID#*] Prepare completed. Receiving * files(*), sending * files(*)",info,stream id prepar complet receiv file send file
[Stream #*] Session with * is complete,info,stream session complet
[Stream #*] All sessions completed,info,stream session complet
Interrupted while waiting thrift server to stop,error,interrupt wait thrift server stop
Binding thrift service to *:*,info,bind thrift servic
Listening for thrift clients...,info,listen thrift client
Stop listening to thrift clients,info,stop listen thrift client
Could not set socket timeout.,error,could set socket timeout
Failed to find metadata for keyspace '*'. Continuing... ,info,fail find metadata keyspac continu
Could not configure socket.,error,could configur socket
Using non-blocking/asynchronous thrift server on * : *,info,use thrift server
Using custom half-sync/half-async thrift server on * : *,info,use custom thrift server
Using custom thrift server * on * : *,info,use custom thrift server
Starting up *,info,start
Error occurred during listening.,error,error occur listen
Thrift error occurred during processing of message.,error,thrift error occur process messag
Error occurred during processing of message.,error,error occur process messag
enabling encrypted thrift connections between client and server,info,enabl encrypt thrift connect client server
Fatal error parsing partition: *,error,fatal error pars partit
Fatal error parsing row.,error,fatal error pars row
Failure parsing ColumnData.,error,failur pars columndata
Failure parsing cell.,error,failur pars cell
Got exception whilst waiting for tracing events to complete,error,got except whilst wait trace event complet
$$$Empty Message$$$,info,empti messag
$$$Empty Message$$$,error,empti messag
Enabling optionally encrypted CQL connections between client and server,info,enabl option encrypt cql connect client server
Enabling encrypted CQL connections between client and server,info,enabl encrypt cql connect client server
Using Netty Version: *,info,use netti version
Starting listening for CQL clients on * (*)...,info,start listen cql client
Stop listening for CQL clients,info,stop listen cql client
Problem retrieving RPC address for *,error,problem retriev rpc address
Exception in response,error,except respons
Unexpected error during query,error,unexpect error queri
Unexpected exception during request,error,unexpect except request
Loading new jar *,info,load new jar
Configured JMX server at: *,info,configur jmx server
mx4j successfuly loaded,info,mx4j successfuli load
JNA mlockall successful,info,jna mlockal success
Failed to get PID from JNA,info,fail get pid jna
$$$Empty Message$$$,info,empti messag
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,info,empti messag
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,info,empti messag
Unable to create output file for debugging coalescing,error,unabl creat output file debug coalesc
* gap *μs,info,gap μs
Underlying string constructor threw an error: *,error,underli string constructor threw error
Some JRE information could not be retrieved for the JRE version: ,error,jre inform could retriev jre version
Initializing SIGAR library,info,initi sigar librari
Could not initialize SIGAR library * ,info,could initi sigar librari
Could not initialize SIGAR library * ,info,could initi sigar librari
Checked OS settings and found them configured for optimal performance.,info,check os set found configur optim perform
"Sigar could not be initialized, test for checking degraded mode omitted.",info,sigar could initi test check degrad mode omit
Trying to log the heap histogram using jcmd,info,tri log heap histogram use jcmd
The process ID could not be retrieved. Skipping heap histogram generation.,error,process id could retriev skip heap histogram gener
The heap histogram could not be generated due to the following error: ,error,heap histogram could gener due follow error
$$$Empty Message$$$,info,empti messag
OutOfMemory error letting the JVM handle the error:,error,outofmemori error let jvm handl error
Exiting due to error while processing commit log during initialization.,error,exit due error process commit log initi
$$$Empty Message$$$,error,empti messag
JVM state determined to be unstable.  Exiting forcefully due to:,error,jvm state determin unstabl exit forc due
BAD RELEASE: attempted to release a reference (*) that has already been released,error,bad releas attempt releas refer alreadi releas
LEAK DETECTED: a reference (*) to * was not released before the reference was garbage collected,error,leak detect refer releas refer garbag collect
Error when closing *,error,error close
Allocate trace *: *,error,alloc trace
Deallocate trace *: *,error,dealloc trace
set log level to * for classes under '*' (if the level doesn't look like '*' then the logger couldn't parse '*'),info,set log level class level look like logger could pars
"Maximum memory usage reached (*), cannot allocate chunk of *1048576",info,maximum memori usag reach alloc chunk 1048576
"Buffer pool failed to allocate chunk of *, current size * (*). Attempting to continue; buffers will be allocated in on-heap memory which can degrade performance. Make sure direct memory size (-XX:MaxDirectMemorySize) is large enough to accommodate off-heap memtables and caches.1048576",error,buffer pool fail alloc chunk current size attempt continu buffer alloc memori degrad perform make sure direct memori size maxdirectmemorys larg enough accommod memtabl
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Exception writing to internal frame buffer,error,except write intern frame buffer
Test failed. *,info,test fail
Re-running * times to verify it isn't failing more often than it should.,info,time verifi fail often
Test failed in * of the * reruns.,error,test fail rerun
All reruns succeeded. Failure treated as flake.,info,rerun succeed failur treat flake
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,info,empti messag
"No SSTable data for *.* to build index * from, marking empty index as built",info,sstabl data build index mark empti index built
Submitting index build of * for data in *,info,submit index build data
Index build of * complete,info,index build complet
Client  |  request received on ,info,client request receiv
