static_text,log_level,preprocessed_text
Error loading FeaturesService state,warn,error load featuresservic state
Error saving FeaturesService state,warn,error save featuresservic state
DeploymentListener * failed to process event *,warn,deploymentlisten fail process event
Can't load features repository *,warn,ca load featur repositori
The specified feature: '*' version '*' *,info,specifi featur version
$$$Empty Message$$$,info,empti messag
$$$Empty Message$$$,info,empti messag
Keystore * not found,info,keystor found
Keystore * locked,info,keystor lock
Keystore's key * locked,info,keystor key lock
Truststore * not found,info,truststor found
Truststore * locked,info,truststor lock
Unable to retrieve default configuration,warn,unabl retriev default configur
Unable to send security auditing EventAdmin events: ,warn,unabl send secur audit eventadmin event
* - * - *,warn,
* - * - *,info,
Can't connect to the LDAP server: *,warn,ca connect ldap server
User  |  authentication failed.,warn,user authent fail
Can't connect to the LDAP server: *,warn,ca connect ldap server
Can't connect to the LDAP server: *,warn,ca connect ldap server
Public key authentication failed for user *: *,warn,public key authent fail user
User  |  not found in LDAP.,warn,user found ldap
gssapiRealm is not set,warn,gssapirealm set
Can't connect to the LDAP server: *,warn,ca connect ldap server
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
Cannot open users file: *,warn,open user file
$$$Empty Message$$$,info,empti messag
Cannot open keys file:,warn,open key file
User * not authenticated,warn,user authent
Multiple JDBC datasources found with the same service ranking for ,warn,multipl jdbc datasourc found servic rank
"kar entry * contains a .. relative path. For security reasons, it's not allowed.",warn,kar entri contain rel path secur reason allow
Error closing stream,warn,error close stream
Feature dependency * is not available. Kar deployment postponed to see if it is about to be deployed,warn,featur depend avail kar deploy postpon see deploy
Dependencies of kar * are now satisfied. Installing,info,depend kar satisfi instal
Error closing reader for file ,warn,error close reader file
Added feature repository '*',info,ad featur repositori
Unable to add repository '*',warn,unabl add repositori
Unable to install Kar feature *,warn,unabl instal kar featur
Feature  | / |  has install flag set to \,warn,featur instal flag set
Can't get features for KAR *,warn,ca get featur kar
Error closing stream,warn,error close stream
Unable to uninstall Kar feature *,warn,unabl uninstal kar featur
Can't get features for KAR *,warn,ca get featur kar
Installing and starting initial bundles,info,instal start initi bundl
All initial bundles installed and set to start,info,initi bundl instal set start
"Data directory does not exist anymore, halting",info,data directori exist anymor halt
Lock lost. Setting startlevel to ,warn,lock lost set startlevel
Lock acquired. Setting startlevel to ,info,lock acquir set startlevel
Shutdown socket thread is listening on  | :,info,shutdown socket thread listen
$$$Empty Message$$$,info,empti messag
Executing statement: ,info,execut statement
Trying to lock ,info,tri lock
Lock acquired,info,lock acquir
Lock failed,info,lock fail
Releasing lock ,info,releas lock
Executing statement: ,info,execut statement
INSTANCE unique id: ,info,instanc uniqu id
Failed to acquire database lock. Missing database lock record.,warn,fail acquir databas lock miss databas lock record
Failed to acquire database lock: ,warn,fail acquir databas lock
Error destroying ConnectorServerFactory,warn,error destroy connectorserverfactori
Error destroying MBeanServerFactory,warn,error destroy mbeanserverfactori
"* (objectName = ""*"", method = ""*"")",warn,objectnam method
Can't decrypt ,warn,ca decrypt
Problem with segment  |  in ,warn,problem segment
Problem with segment  |  in ,warn,problem segment
Problem with segment  |  in ,warn,problem segment
Problem with segment  |  in ,warn,problem segment
Problem with segment  |  in ,warn,problem segment
Problem with segment  |  in ,warn,problem segment
Problem with segment  |  in ,warn,problem segment
$$$Empty Message$$$,warn,empti messag
      skipping blacklisted maven artifact: ,info,skip blacklist maven artifact
      adding overriden maven artifact:  |  (original location:  | ),info,ad overriden maven artifact origin locat
      adding maven artifact: ,info,ad maven artifact
Ignoring non maven artifact ,warn,ignor non maven artifact
      adding maven artifact: ,info,ad maven artifact
Ignoring non maven artifact ,warn,ignor non maven artifact
Generating Karaf assembly: ,info,gener karaf assembl
Unzipping kars,info,unzip kar
   processing KAR: ,info,process kar
      found repository: ,info,found repositori
Loading profiles from:,info,load profil
"   Found profiles:  | , ",info,found profil
Found existing features processor configuration: *,info,found exist featur processor configur
Explicitly configured * will be used for features processor configuration.,warn,explicitli configur use featur processor configur
Found features processor configuration: *,info,found featur processor configur
Loading repositories,info,load repositori
   adding all non-blacklisted features from repository:  |  (stage:  | ),info,ad featur repositori stage
      feature */* is blacklisted - skipping.,info,featur blacklist skip
Adding profiles to *,info,ad profil
Configuring etc/config.properties and etc/system.properties,info,configur
Downloading libraries for generated profiles,info,download librari gener profil
Downloading additional libraries,info,download addit librari
Writing configurations,info,write configur
   not changing existing config file: *,info,chang exist config file
   adding config file: *,info,ad config file
Generating features processor configuration: *,info,gener featur processor configur
Copying features processor configuration: * -> *,info,copi featur processor configur
Can't generate consistency report into * - it's not a directory,warn,ca gener consist report directori
Writing bundle report,info,write bundl report
"Found * which is deprecated, please use new feature processor configuration.",warn,found deprec pleas use new featur processor configur
"Found * which is deprecated, please use new feature processor configuration.",warn,found deprec pleas use new featur processor configur
"Blacklisted features XML repository URI is invalid: *, ignoring",warn,blacklist featur xml repositori uri invalid ignor
"Blacklisted bundle URI is invalid: *, ignoring",warn,blacklist bundl uri invalid ignor
   blacklisting profile * from *,info,blacklist profil
Ignoring library  |  of type  |  which is only supported for Java 1.8.,warn,ignor librari type support java
Install stage,info,instal stage
   Loading installed repositories,info,load instal repositori
"   Feature  |  is blacklisted, ignoring",info,featur blacklist ignor
   Feature * is defined as an installed feature,info,featur defin instal featur
"   Conditionial  |  is blacklisted, ignoring",info,conditioni blacklist ignor
Boot stage,info,boot stage
   Loading boot repositories,info,load boot repositori
"   Feature  |  is blacklisted, ignoring",info,featur blacklist ignor
   Feature  |  is defined as a boot feature,info,featur defin boot featur
"   Conditionial  |  is blacklisted, ignoring",info,conditioni blacklist ignor
Feature  |  is a prerequisite and should be installed as a startup feature.,warn,featur prerequisit instal startup featur
Startup stage,info,startup stage
   Loading startup repositories,info,load startup repositori
   Resolving startup features and bundles,info,resolv startup featur bundl
"      Features:  | , ",info,featur
"      Bundles:  | , ",info,bundl
   feature repository  |  is blacklisted,info,featur repositori blacklist
      adding feature repository: ,info,ad featur repositori
   referenced feature repository  |  is blacklisted,info,referenc featur repositori blacklist
Generating * profile,info,gener profil
Generating * profile with parents: *,info,gener profil parent
      not changing existing config file: *,info,chang exist config file
      appending to config file: *,info,append config file
      adding config file: *,info,ad config file
      adding maven artifact: ,info,ad maven artifact
      skipping blacklisted bundle: *,info,skip blacklist bundl
      not changing existing config file: *,info,chang exist config file
      appending to config file: *,info,append config file
      adding config file: *,info,ad config file
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,info,empti messag
Error while importing configuration * to profile.,warn,error import configur profil
Could not find a scheduled job with name ,warn,could find schedul job name
Error executing script,warn,error execut script
Error executing scheduled command *,warn,error execut schedul command
Error scheduling job,warn,error schedul job
Activating the *Greeter Service Factory Manager,info,activ greeter servic factori manag
Deactivating the *Greeter Service Factory Manager,info,deactiv greeter servic factori manag
Activating the *Greeter Service Component Factory,info,activ greeter servic compon factori
Deactivating the *Greeter Service Component Factory,info,deactiv greeter servic compon factori
Message *: salutation *,info,messag salut
Thread shutting down,info,thread shut
Activating the *Managed Greeter Component,info,activ manag greeter compon
Deactivating the *Managed Greeter Component,info,deactiv manag greeter compon
Activating the *Managed Greeter Service,info,activ manag greeter servic
Deactivating the *Managed Greeter Service,info,deactiv manag greeter servic
Modifying the *Managed Greeter Service,info,modifi manag greeter servic
Message *: * *,info,messag
Thread shutting down,info,thread shut
Activating the *Greeter Service Component,info,activ greeter servic compon
Deactivating the *Greeter Service Component,info,deactiv greeter servic compon
* *,info,
Activating the Apache Karaf ServiceComponentRuntime MBean,info,activ apach karaf servicecomponentruntim mbean
Deactivating the Apache Karaf ServiceComponentRuntime MBean,info,deactiv apach karaf servicecomponentruntim mbean
No role-based security for services as its system property is not set: *karaf.secured.services,info,secur servic system properti set
Adding role-based security to services with filter: *,info,ad secur servic filter
No compulsory roles for a karaf command without the ACL as its system property is not set: *karaf.secured.command.compulsory.roles,info,compulsori role karaf command without acl system properti set
Unregistering proxy service of * with properties *,info,unregist proxi servic properti
Problem scheduling a proxy creator for service *(*),warn,problem schedul proxi creator servic
"Service * has role mapping, but assigned no roles to method *",info,servic role map assign role method
Current user does not have required roles (*) for service * method * and/or arguments,info,current user requir role servic method argument
Printing URL: ,info,print url
Printing file: ,info,print file
Disconnecting from current session...,info,disconnect current session
Using type: ,info,use type
Using method: ,info,use method
Invoking w/arguments: *,info,invok
Result: ,info,result
Duplicate @Argument annotations on class  |  for index:  |  see: ,warn,duplic argument annot class index see
Could not use value  |  as set of completions!,warn,could use valu set complet
Index out of range on @CompleterValues on class  |  for index:  |  see: ,warn,index rang completervalu class index see
Duplicate @CompleterMethod annotations on class  |  for index:  |  see: ,warn,duplic completermethod annot class index see
Could not invoke @CompleterMethod on  | . ,warn,could invok completermethod
Could not invoke @CompleterMethod on  | . ,warn,could invok completermethod
Failed to release action:  | . ,warn,fail releas action
Duplicate @Argument annotations on class  |  for index:  |  see: ,warn,duplic argument annot class index see
Index out of range on @CompleterValues on class  |  for index:  |  see: ,warn,index rang completervalu class index see
Duplicate @CompleterMethod annotations on class  |  for index:  |  see: ,warn,duplic completermethod annot class index see
Could not use value  |  as set of completions!,warn,could use valu set complet
Could not invoke @CompleterMethod on  | . ,warn,could invok completermethod
Could not invoke @CompleterMethod on  | . ,warn,could invok completermethod
Failed to release action:  | . ,warn,fail releas action
Duplicate @Argument annotations on class  |  for index:  |  see: ,warn,duplic argument annot class index see
Could not use value  |  as set of completions!,warn,could use valu set complet
Index out of range on @CompleterValues on class  |  for index:  |  see: ,warn,index rang completervalu class index see
Duplicate @CompleterMethod annotations on class  |  for index:  |  see: ,warn,duplic completermethod annot class index see
Could not invoke @CompleterMethod on  | . ,warn,could invok completermethod
Could not invoke @CompleterMethod on  | . ,warn,could invok completermethod
Failed to release action:  | . ,warn,fail releas action
Duplicate @Argument annotations on class  |  for index:  |  see: ,warn,duplic argument annot class index see
Index out of range on @CompleterValues on class  |  for index:  |  see: ,warn,index rang completervalu class index see
Duplicate @CompleterMethod annotations on class  |  for index:  |  see: ,warn,duplic completermethod annot class index see
Could not use value  |  as set of completions!,warn,could use valu set complet
Could not invoke @CompleterMethod on  | . ,warn,could invok completermethod
Could not invoke @CompleterMethod on  | . ,warn,could invok completermethod
Failed to release action:  | . ,warn,fail releas action
Generating command ACL config * into service ACL configs *,info,gener command acl config servic acl config
Config ACL deleted: *. Deleting generated service ACL configs *,info,config acl delet delet gener servic acl config
Duplicate @Argument annotations on class  |  for index:  |  see: ,warn,duplic argument annot class index see
$$$Empty Message$$$,warn,empti messag
Inspection of class * failed.,info,inspect class fail
Command registration delayed for bundle */*. Missing service: *,info,command registr delay bundl miss servic
The wait for bundle  |  being started before destruction has been interrupted.,warn,wait bundl start destruct interrupt
* commands for bundle */*,info,command bundl
Can't read */org.apache.karaf.shell.cfg file. The completion is set to default.,warn,ca read file complet set default
Not starting local console. To activate set karaf.startLocalConsole=true,info,start local consol activ set
Error closing: ,warn,error close
Exception caught while starting SSH server,warn,except caught start ssh server
Exception caught while stopping SSH server,warn,except caught stop ssh server
Configured  |  ' | ' not available,warn,configur avail
Error starting ssh agent for local console,warn,error start ssh agent local consol
Error stopping ssh agent for local console,warn,error stop ssh agent local consol
Failed to parse keypair in *. Attempting to parse it 'directly',warn,fail pars keypair attempt pars
Successfully loaded key pair,info,success load key pair
Failed to parse keypair in *. Attempting to parse it as a legacy 'simple' key,warn,fail pars keypair attempt pars legaci key
Successfully loaded legacy simple key. Converted to PEM format,info,success load legaci simpl key convert pem format
 is not a 'simple' key either,warn,key either
Creating ssh server private key at ,info,creat ssh server privat key
generateKeyPair( | ) generating host key - size=,info,generatekeypair gener host key
$$$Empty Message$$$,info,empti messag
XSL transformer implementation doesn't support * featurehttp://javax.xml.XMLConstants/property/accessExternalDTD,warn,xsl transform implement support featurehttp
XSL transformer implementation doesn't support * featurehttp://javax.xml.XMLConstants/property/accessExternalStylesheet,warn,xsl transform implement support featurehttp
XSL transformer implementation doesn't support * featurehttp://javax.xml.XMLConstants/property/accessExternalDTD,warn,xsl transform implement support featurehttp
XSL transformer implementation doesn't support * featurehttp://javax.xml.XMLConstants/property/accessExternalStylesheet,warn,xsl transform implement support featurehttp
Error generating filenames,warn,error gener filenam
Error starting activator,warn,error start activ
Error starting activator,warn,error start activ
Bundle ID * is invalid,warn,bundl id invalid
Bundle ID * is invalid,warn,bundl id invalid
Bundle ID * is invalid,warn,bundl id invalid
Account failure,warn,account failur
Error during authentication,warn,error authent
Features plugin activated,info,featur plugin activ
Features plugin deactivated,info,featur plugin deactiv
Gogo plugin activated,info,gogo plugin activ
Gogo plugin deactivated,info,gogo plugin deactiv
Http plugin activated,info,http plugin activ
Http plugin deactivated,info,http plugin deactiv
Instance plugin activated,info,instanc plugin activ
Instance plugin deactivated,info,instanc plugin deactiv
Creating missing directory: *,info,creat miss directori
Creating file: *,info,creat file
writing: *,info,write
File already exists. Move it out of the way if you wish to recreate it: *,warn,file alreadi exist move way wish recreat
Creating file: *,info,creat file
File already exists. Move it out of the way if you wish to recreate it: *,warn,file alreadi exist move way wish recreat
Creating file: *,info,creat file
Opening split *,info,open split
Could not extract schema from Avro-generated SpecificRecord class *: *.,warn,could extract schema specificrecord class
Trying to load and instantiate Azure File System,info,tri load instanti azur file system
Running 'run' command.,info,run command
Building program from JAR file,info,build program jar file
Could not properly shut down the client.,info,could properli shut client
Could not properly terminate the Flink cluster.,info,could properli termin flink cluster
Could not properly shut down the client.,info,could properli shut client
Could not properly close the cluster descriptor.,info,could properli close cluster descriptor
Running 'info' command.,info,run command
Building program from JAR file,info,build program jar file
Creating program plan dump,info,creat program plan dump
Running 'list' command.,info,run command
Successfully retrieved list of jobs,info,success retriev list job
Running 'stop-with-savepoint' command.,info,run command
Running 'cancel' command.,info,run command
Running 'savepoint' command.,info,run command
$$$Empty Message$$$,info,empti messag
Could not properly shut down the cluster client.,info,could properli shut cluster client
Could not properly close the cluster descriptor.,info,could properli close cluster descriptor
Could not load CLI class *.org.apache.flink.yarn.cli.FlinkYarnSessionCli,warn,could load cli class
"Job was executed in detached mode, the results will be available on completion.",warn,job execut detach mode result avail complet
Starting program (detached: *),info,start program detach
Submitting job * (detached: *).,info,submit job detach
Could not retrieve the web interface URL for the cluster.,warn,could retriev web interfac url cluster
Sending a value failed.,warn,send valu fail
Sending a value failed.,warn,send valu fail
Created Elasticsearch TransportClient with connected nodes *,info,creat elasticsearch transportcli connect node
Created Elasticsearch TransportClient with connected nodes *,info,creat elasticsearch transportcli connect node
Pinging Elasticsearch cluster via hosts * ...,info,ping elasticsearch cluster via host
Created Elasticsearch RestHighLevelClient connected to *,info,creat elasticsearch resthighlevelcli connect
Restoring state for the * (taskIdx=*).,info,restor state
No state to restore for the * (taskIdx=*).,info,state restor
Shutting down Publisher failed.,info,shut publish fail
Shutting down TransportChannel failed.,info,shut transportchannel fail
Shutting down ManagedChannel failed.,info,shut managedchannel fail
Interrupted when waiting for futures to complete,info,interrupt wait futur complet
CreateTopic *,info,createtop
DeleteTopic * first delete old subscriptions.,info,deletetop first delet old subscript
DeleteTopic *,info,deletetop
CreateSubscription *,info,createsubscript
DeleteSubscription *,info,deletesubscript
$$$Empty Message$$$,info,empti messag
/===========================================,info,
| GCloud Emulator,info,gcloud emul
"| - Getting docker image ""*""google/cloud-sdk:latest",info,get docker imag latest
| - Creating new container,info,creat new contain
| - Starting it up ....,warn,start
| Waiting for the emulators to be running,info,wait emul run
\===========================================,info,
$$$Empty Message$$$,info,empti messag
| - * Emulator is running at *:*,info,emul run
| * Emulator * --> NOTHING CONNECTED TO *,info,emul noth connect
$$$Empty Message$$$,info,empti messag
/===========================================,info,
|    >>> FOUND OLD EMULATOR INSTANCE RUNNING <<< ,warn,found old emul instanc run
| Destroying that one to keep tests running smoothly.,warn,destroy one keep test run smoothli
| Cleanup of GCloud Emulator,info,cleanup gcloud emul
| - Killed,info,kill
| - Removed,info,remov
\===========================================,info,
$$$Empty Message$$$,info,empti messag
Successfully loaded Hive udf '*' with class '*',info,success load hive udf class
Transforming Hive function '*' into a HiveSimpleUDF,info,transform hive function hivesimpleudf
Transforming Hive function '*' into a HiveGenericUDF,info,transform hive function hivegenericudf
Transforming Hive function '*' into a HiveGenericUDTF,info,transform hive function hivegenericudtf
Transforming Hive function '*' into a HiveGenericUDAF with no UDAF bridging and Hive version %s,info,transform hive function hivegenericudaf udaf bridg hive version
Transforming Hive function '*' into a HiveGenericUDAF with UDAF bridging and Hive version %s,info,transform hive function hivegenericudaf udaf bridg hive version
Created HiveCatalog '*',info,creat hivecatalog
Setting hive conf dir as *,info,set hive conf dir
Connected to Hive metastore,info,connect hive metastor
Close connection to Hive metastore,info,close connect hive metastor
Flink does not support converting ColumnStatisticsData '*' for Hive column type '*' yet.,warn,flink support convert columnstatisticsdata hive column type yet
Creating HiveSimpleUDF from '*',info,creat hivesimpleudf
Opening HiveSimpleUDF as '*',info,open hivesimpleudf
Creating HiveGenericUDF from '*',info,creat hivegenericudf
Open HiveGenericUDF as *,info,open hivegenericudf
Getting result type of HiveGenericUDF from *,info,get result type hivegenericudf
Getting result type of HiveGenericUDTF with *,info,get result type hivegenericudtf
Setting up * in *,info,set
Tearing down *,info,tear
Tear down failed: ,warn,tear fail
HMS started at port *,info,hm start port
Waiting for HMS to start...,info,wait hm start
Ignoring configured key DeSerializer (*)key.deserializer,warn,ignor configur key deseri
Ignoring configured value DeSerializer (*)value.deserializer,warn,ignor configur valu deseri
Overwriting the '*' is not recommendedkey.serializer,warn,overwrit
Overwriting the '*' is not recommendedvalue.serializer,warn,overwrit
Property [*] not specified. Setting it to *transaction.timeout.ms,warn,properti specifi set
Encountered error * while recovering transaction *. Presumably this transaction has been already committed before,warn,encount error recov transact presum transact alreadi commit
"Using * semantic, but checkpointing is not enabled. Switching to * semantic.",warn,use semant checkpoint enabl switch semant
Generated new transactionalIds *,info,gener new transactionalid
Recovered transactionalIds *,info,recov transactionalid
Starting FlinkKafkaInternalProducer (*/*) to produce into default topic *,info,start flinkkafkainternalproduc produc default topic
Producer implementation does not support metrics,info,produc implement support metric
Consumer implementation does not support metrics,info,consum implement support metric
Error while closing Kafka consumer,warn,error close kafka consum
Committing offsets to Kafka takes longer than the checkpoint interval. Skipping commit of previous offsets because newer complete checkpoint offsets are available. This does not compromise Flink's checkpoint integrity.,warn,commit offset kafka take longer checkpoint interv skip commit previou offset newer complet checkpoint offset avail compromis flink checkpoint integr
Committing offsets to Kafka failed. This does not compromise Flink's checkpoints.,warn,commit offset kafka fail compromis flink checkpoint
Attempting to resume transaction * with producerId * and epoch *,info,attempt resum transact producerid epoch
Flushing new partitions,info,flush new partit
Overwriting the '*' is not recommendedkey.serializer,warn,overwrit
Overwriting the '*' is not recommendedvalue.serializer,warn,overwrit
Property [*] not specified. Setting it to *transaction.timeout.ms,warn,properti specifi set
Encountered error * while recovering transaction *. Presumably this transaction has been already committed before,warn,encount error recov transact presum transact alreadi commit
"Using * semantic, but checkpointing is not enabled. Switching to * semantic.",warn,use semant checkpoint enabl switch semant
Generated new transactionalIds *,info,gener new transactionalid
Recovered transactionalIds *,info,recov transactionalid
Starting FlinkKafkaProducer (*/*) to produce into default topic *,info,start flinkkafkaproduc produc default topic
Producer implementation does not support metrics,info,produc implement support metric
Attempting to resume transaction * with producerId * and epoch *,info,attempt resum transact producerid epoch
Flushing new partitions,info,flush new partit
Starting to fetch from *,info,start fetch
Starting to consume * partitions with consumer thread *,info,start consum partit consum thread
Adding * new partitions to consumer thread *,info,ad new partit consum thread
Consumer thread * does not have any partitions assigned anymore. Stopping thread.,info,consum thread partit assign anymor stop thread
Fetch failed because of ClosedChannelException.,warn,fetch fail closedchannelexcept
Unable to reach broker after * retries. Returning all current partitions,warn,unabl reach broker retri return current partit
Error while closing consumer connection,warn,error close consum connect
* is not the leader of *. Reassigning leader for partition,warn,leader reassign leader partit
The following partitions had an invalid offset: *,warn,follow partit invalid offset
The new partition offsets are *,warn,new partit offset
Skipping message with offset  |  because we have seen messages until (including)  |  from topic/partition  |  already,info,skip messag offset seen messag includ alreadi
Unable to get last offset for partitions: Exception(s): *,warn,unabl get last offset partit except
Trying to get topic metadata from broker * in try */*,info,tri get topic metadata broker tri
Error while getting metadata from broker * to find partitions for *. Error: *.,warn,error get metadata broker find partit error
Error communicating with broker * to find partitions for *. * Message: *,warn,error commun broker find partit messag
Trying to get topic metadata from broker * in try */*,info,tri get topic metadata broker tri
Error while getting metadata from broker * to find partitions for *. Error: *.,warn,error get metadata broker find partit error
Received metadata from topic  |  even though it was not requested. Skipping ...,warn,receiv metadata topic even though request skip
Error communicating with broker * to find partitions for *. * Message: *,warn,error commun broker find partit messag
No group offset can be found for partition * in Zookeeper; resetting starting offset to 'auto.offset.reset',warn,group offset found partit zookeep reset start offset
"Starting periodic offset committer, with commit interval of *ms",info,start period offset committ commit interv ms
Assigning * partitions to broker threads,info,assign partit broker thread
Removing stopped consumer thread *,info,remov stop consum thread
"All consumer threads are finished, there are no more unassigned partitions. Stopping fetcher",info,consum thread finish unassign partit stop fetcher
Starting thread *,info,start thread
Refreshing leader information for partitions *,info,refresh leader inform partit
Ignoring configured key DeSerializer (*)key.deserializer,warn,ignor configur key deseri
Ignoring configured value DeSerializer (*)value.deserializer,warn,ignor configur valu deseri
Consumer implementation does not support metrics,info,consum implement support metric
Error while closing Kafka consumer,warn,error close kafka consum
Committing offsets to Kafka takes longer than the checkpoint interval. Skipping commit of previous offsets because newer complete checkpoint offsets are available. This does not compromise Flink's checkpoint integrity.,warn,commit offset kafka take longer checkpoint interv skip commit previou offset newer complet checkpoint offset avail compromis flink checkpoint integr
Committing offsets to Kafka failed. This does not compromise Flink's checkpoints.,warn,commit offset kafka fail compromis flink checkpoint
Consumer subtask * will start reading * partitions with offsets in restored state: *,info,consum subtask start read partit offset restor state
Consumer subtask * will start reading the following * partitions from the earliest offsets: *,info,consum subtask start read follow partit earliest offset
Consumer subtask * will start reading the following * partitions from the latest offsets: *,info,consum subtask start read follow partit latest offset
Consumer subtask * will start reading the following * partitions from timestamp *: *,info,consum subtask start read follow partit timestamp
Consumer subtask * will start reading the following * partitions from the specified startup offsets *: *,info,consum subtask start read follow partit specifi startup offset
Consumer subtask * cannot find offsets for the following * partitions in the specified startup offsets: *; their startup offsets will be defaulted to their committed group offsets in Kafka.,warn,consum subtask find offset follow partit specifi startup offset startup offset default commit group offset kafka
Consumer subtask * will start reading the following * partitions from the committed group offsets in Kafka: *,info,consum subtask start read follow partit commit group offset kafka
Consumer subtask * initially has no partitions to read from.,info,consum subtask initi partit read
Consumer subtask %d failed async Kafka commit.,warn,consum subtask fail async kafka commit
Consumer subtask * creating fetcher with offsets *.,info,consum subtask creat fetcher offset
Consumer subtask * restored state: *.,info,consum subtask restor state
Consumer subtask * has no restore state.,info,consum subtask restor state
Consumer subtask * received confirmation for unknown checkpoint id *,warn,consum subtask receiv confirm unknown checkpoint id
Overwriting the '*' is not recommendedkey.serializer,warn,overwrit
Overwriting the '*' is not recommendedvalue.serializer,warn,overwrit
Starting FlinkKafkaProducer (*/*) to produce into default topic *,info,start flinkkafkaproduc produc default topic
Producer implementation does not support metrics,info,produc implement support metric
"Flushing on checkpoint is enabled, but checkpointing is not enabled. Disabling flushing.",warn,flush checkpoint enabl checkpoint enabl disabl flush
Record was not sent successful,warn,record sent success
An exception occurred while processing a record,warn,except occur process record
Started Kinesis producer instance for region '*',info,start kinesi produc instanc region
No target stream set. Skipping record,warn,target stream set skip record
Closing producer,info,close produc
Flushing outstanding * records,info,flush outstand record
Flushing done. Destroying producer instance.,info,flush done destroy produc instanc
An exception was thrown while processing a record: *,warn,except thrown process record
"Waiting for the queue length to drop below the limit takes unusually long, still not done after * attempts.",warn,wait queue length drop limit take unusu long still done attempt
Flushing was interrupted.,warn,flush interrupt
Flushing was interrupted.,warn,flush interrupt
Flink Kinesis Consumer is going to read the following streams: *,info,flink kinesi consum go read follow stream
"Subtask * is seeding the fetcher with restored shard *, starting state set to the restored sequence number *",info,subtask seed fetcher restor shard start state set restor sequenc number
"Subtask * is seeding the fetcher with new discovered shard *, starting state set to the SENTINEL_EARLIEST_SEQUENCE_NUM",info,subtask seed fetcher new discov shard start state set
"Subtask * will be seeded with initial shard *, starting state set as sequence number *",info,subtask seed initi shard start state set sequenc number
Error while closing Kinesis data fetcher,warn,error close kinesi data fetcher
Setting restore state in the FlinkKinesisConsumer. Using the following offsets: *,info,set restor state flinkkinesisconsum use follow offset
No restore state for FlinkKinesisConsumer.,info,restor state flinkkinesisconsum
Encountered an unexpected expired iterator * for shard *; refreshing the iterator ...,warn,encount unexpect expir iter shard refresh iter
Subtask * has failed to find any shards for the following subscribed streams: *,warn,subtask fail find shard follow subscrib stream
Subtask * will start consuming seeded shard * from sequence number * with ShardConsumer *,info,subtask start consum seed shard sequenc number shardconsum
Starting periodic watermark emitter with interval *,info,start period watermark emitt interv
Subtask * has no active shards to read on startup; marking the subtask as temporarily idle ...,info,subtask activ shard read startup mark subtask temporarili idl
"Subtask * has discovered a new shard * due to resharding, and will start consuming the shard from sequence number * with ShardConsumer *",info,subtask discov new shard due reshard start consum shard sequenc number shardconsum
Shutting down the shard consumer threads of subtask * ...,info,shut shard consum thread subtask
Skipping non-deserializable record at sequence number * of shard *.,warn,skip record sequenc number shard
Subtask * has reached the end of subscribed shard: *,info,subtask reach end subscrib shard
Subtask * has reached the end of all currently subscribed shards; marking the subtask as temporarily idle ...,info,subtask reach end current subscrib shard mark subtask temporarili idl
"No active shard for subtask *, marking the source idle.",info,activ shard subtask mark sourc idl
Registering watermark tracker with interval *,info,regist watermark tracker interv
WatermarkSyncCallback subtask: * is idle,info,watermarksynccallback subtask idl
"WatermarkSyncCallback subtask: * local watermark: *, global watermark: *, delta: * timeouts: *, emitter: *",info,watermarksynccallback subtask local watermark global watermark delta timeout emitt
stalled watermark * key * next watermark * next timestamp *,info,stall watermark key next watermark next timestamp
Got recoverable SdkClientException. Backing off for  |  millis ( | :  | ),warn,got recover sdkclientexcept back milli
Got recoverable AmazonServiceException. Backing off for  |  millis ( | :  | ),warn,got recover amazonserviceexcept back milli
Got LimitExceededException when listing shards from stream  | . Backing off for  |  millis.,warn,got limitexceededexcept list shard stream back milli
The stream is currently not in active state. Reusing the older state for the time being,info,stream current activ state reus older state time
List Shards has an expired token. Reusing the previous state.,warn,list shard expir token reus previou state
Got SdkClientException when listing shards from stream *. Backing off for * millis.,warn,got sdkclientexcept list shard stream back milli
Got LimitExceededException when describing stream %s.  | Backing off for %d millis.,warn,got limitexceededexcept describ stream back milli
The status of stream %s is %s ; result of the current  | describeStream operation will not contain any shard information.,warn,statu stream result current describestream oper contain shard inform
[setMaxLookaheadMillis] Max lookahead millis set to *,info,setmaxlookaheadmilli max lookahead milli set
"[setCurrentWatermark] Current watermark set to *, maxEmitTimestamp = *",info,setcurrentwatermark current watermark set maxemittimestamp
Starting emitter with maxLookaheadMillis: *,info,start emitt maxlookaheadmilli
"WatermarkAggregateFunction added: *, timeout: *, map: *",info,watermarkaggregatefunct ad timeout map
"A transaction could not be created, waiting and will try again...",warn,transact could creat wait tri
Both channel and connection closing failed. Logging channel exception and failing with connection exception,warn,channel connect close fail log channel except fail connect except
Initializing Twitter Streaming API connection,info,initi twitter stream api connect
Twitter Streaming API connection established successfully,info,twitter stream api connect establish success
Closing source,info,close sourc
Cancelling Twitter source,info,cancel twitter sourc
UNKNOWN:  |   |   |  ,warn,unknown
Scanning class path for job JAR,info,scan class path job jar
Using * as job jar,info,use job jar
In file \ | \ | )  |  invalid line(s) were skipped.,warn,file invalid line skip
In file \ | \ | )  |  comment line(s) were skipped.,info,file comment line skip
Increasing maximum sample record length to size of the read buffer ( | ).,warn,increas maximum sampl record length size read buffer
