static_text,log_level,preprocessed_text
Can't override bundle in maven mode without explicit original URL. Switching to osgi mode.,warn,ca overrid bundl maven mode without explicit origin url switch osgi mode
Can't parse override URL location pattern:  | . Ignoring.,warn,ca pars overrid url locat pattern ignor
Override URI \ | \,warn,overrid uri
Can't parse override URL location pattern:  | . Ignoring.,warn,ca pars overrid url locat pattern ignor
Problem parsing override URI \ | \ | . Version ranges are not handled. Ignoring.,warn,problem pars overrid uri version rang handl ignor
Problem parsing override URI \ | \ | . Ignoring.,warn,problem pars overrid uri ignor
Error reading configuration file ,warn,error read configur file
Unrecognized resource repository: ,warn,unrecogn resourc repositori
Ignoring failure: ,warn,ignor failur
Ignoring failure: ,warn,ignor failur
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
"Value * has unresolved properties, please check configuration.",warn,valu unresolv properti pleas check configur
Repository blacklist URI is empty. Ignoring.,warn,repositori blacklist uri empti ignor
Problem parsing repository blacklist URI \ | \ | . Ignoring.,warn,problem pars repositori blacklist uri ignor
Problem parsing blacklisted feature identifier \ | \ | . Ignoring.,warn,problem pars blacklist featur identifi ignor
Bundle blacklist URI is empty. Ignoring.,warn,bundl blacklist uri empti ignor
Problem parsing bundle blacklist URI \ | \ | . Ignoring.,warn,problem pars bundl blacklist uri ignor
Unable to post event to EventAdmin,warn,unabl post event eventadmin
Unable to post event to EventAdmin,warn,unabl post event eventadmin
Can't update cfg file,warn,ca updat cfg file
Can't update cfg file,warn,ca updat cfg file
$$$Empty Message$$$,error,empti messag
Error installing boot features,error,error instal boot featur
Error installing boot feature repository ,error,error instal boot featur repositori
Can't initialize feature processor: ,warn,ca initi featur processor
Error reading resolution request,warn,error read resolut request
Error updating state,warn,error updat state
Error loading FeaturesService state,warn,error load featuresservic state
Error saving FeaturesService state,warn,error save featuresservic state
Error notifying listener about the current state,error,error notifi listen current state
DeploymentListener * failed to process event *,warn,deploymentlisten fail process event
Can't load features repository *,warn,ca load featur repositori
Can't load proxies,error,ca load proxi
Can't add * proxy to *,error,ca add proxi
unable to update http proxy from configuration,error,unabl updat http proxi configur
Unable to retrieve default configuration,warn,unabl retriev default configur
Unable to read certificate from keystore,error,unabl read certif keystor
Unable to read retrieve alias for given certificate from keystore,error,unabl read retriev alia given certif keystor
Unable to read certificate chain from keystore,error,unabl read certif chain keystor
Unable to read private key from keystore,error,unabl read privat key keystor
Unable to read private key from keystore,error,unabl read privat key keystor
Unable to read private key from keystore,error,unabl read privat key keystor
Unable to open keystore with provided password,error,unabl open keystor provid password
Unable to open keystore with provided password,error,unabl open keystor provid password
Unable to open keystore with provided password,error,unabl open keystor provid password
Unable to open keystore with provided password,error,unabl open keystor provid password
Unable to send security auditing EventAdmin events: ,warn,unabl send secur audit eventadmin event
* - * - *,warn,
* - * - *,error,
Initialization failed. Digest algorithm  |  is not available.,error,initi fail digest algorithm avail
Initialization failed. Digest encoding  |  is not supported.,error,initi fail digest encod support
Error executing statement,error,error execut statement
Error executing statement,error,error execut statement
Error creating JDBCBackingEngine.,error,error creat jdbcbackingengin
No datasource was specified ,error,datasourc specifi
Invalid datasource lookup protocol,error,invalid datasourc lookup protocol
Can't connect to the LDAP server: *,warn,ca connect ldap server
User  |  authentication failed.,warn,user authent fail
No LDAP URL specified.,error,ldap url specifi
Invalid LDAP URL: ,error,invalid ldap url
Can't connect to the LDAP server: *,warn,ca connect ldap server
Can't connect to the LDAP server: *,warn,ca connect ldap server
Public key authentication failed for user *: *,warn,public key authent fail user
User  |  not found in LDAP.,warn,user found ldap
gssapiRealm is not set,warn,gssapirealm set
error with delegated authentication,error,error deleg authent
error with callback handler,error,error callback handler
error with callback handler,error,error callback handler
Can't connect to the LDAP server: *,warn,ca connect ldap server
"Cannot update users file,",error,updat user file
"Cannot remove users file,",error,remov user file
"Cannot update users file,",error,updat user file
"Cannot update users file,",error,updat user file
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
Cannot open users file: *,warn,open user file
Cannot open keys file:,warn,open key file
"Cannot update users file,",error,updat user file
"Cannot remove users file,",error,remov user file
"Cannot update users file,",error,updat user file
"Cannot update users file,",error,updat user file
User * not authenticated,warn,user authent
User * authentication failed,error,user authent fail
Can't add user *,error,ca add user
Can't add user *,error,ca add user
Can't delete user *,error,ca delet user
Error creating the Syncope backing engine,error,error creat syncop back engin
Can't get information about datasource *,error,ca get inform datasourc
Multiple JDBC datasources found with the same service ranking for ,warn,multipl jdbc datasourc found servic rank
"kar entry * contains a .. relative path. For security reasons, it's not allowed.",warn,kar entri contain rel path secur reason allow
Error closing stream,warn,error close stream
Feature dependency * is not available. Kar deployment postponed to see if it is about to be deployed,warn,featur depend avail kar deploy postpon see deploy
Error closing reader for file ,warn,error close reader file
Unable to add repository '*',warn,unabl add repositori
Unable to install Kar feature *,warn,unabl instal kar featur
Feature  | / |  has install flag set to \,warn,featur instal flag set
Can't get features for KAR *,warn,ca get featur kar
Error closing stream,warn,error close stream
Error adding ,error,error ad
Unable to uninstall Kar feature *,warn,unabl uninstal kar featur
Can't get features for KAR *,warn,ca get featur kar
Delayed deployment of kar  |  failed,error,delay deploy kar fail
Lock lost. Setting startlevel to ,warn,lock lost set startlevel
Failed to acquire database lock. Missing database lock record.,warn,fail acquir databas lock miss databas lock record
Failed to acquire database lock: ,warn,fail acquir databas lock
Can't init JMXConnectorServer: ,error,ca init jmxconnectorserv
Can't re-init JMXConnectorServer with SSL enabled when register a keystore:,error,ca jmxconnectorserv ssl enabl regist keystor
Can't re-init JMXConnectorServer with SSL enabled when unregister a keystore: ,error,ca jmxconnectorserv ssl enabl unregist keystor
Error destroying ConnectorServerFactory,warn,error destroy connectorserverfactori
Error destroying MBeanServerFactory,warn,error destroy mbeanserverfactori
"* (objectName = ""*"", method = ""*"")",warn,objectnam method
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
Can't decrypt ,warn,ca decrypt
Problem with segment  |  in ,warn,problem segment
Problem with segment  |  in ,warn,problem segment
Problem with segment  |  in ,warn,problem segment
Problem with segment  |  in ,warn,problem segment
Problem with segment  |  in ,warn,problem segment
Problem with segment  |  in ,warn,problem segment
Problem with segment  |  in ,warn,problem segment
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
Ignoring non maven artifact ,warn,ignor non maven artifact
Ignoring non maven artifact ,warn,ignor non maven artifact
Explicitly configured * will be used for features processor configuration.,warn,explicitli configur use featur processor configur
Can't generate consistency report into * - it's not a directory,warn,ca gener consist report directori
"Found * which is deprecated, please use new feature processor configuration.",warn,found deprec pleas use new featur processor configur
"Found * which is deprecated, please use new feature processor configuration.",warn,found deprec pleas use new featur processor configur
"Blacklisted features XML repository URI is invalid: *, ignoring",warn,blacklist featur xml repositori uri invalid ignor
"Blacklisted bundle URI is invalid: *, ignoring",warn,blacklist bundl uri invalid ignor
Ignoring library  |  of type  |  which is only supported for Java 1.8.,warn,ignor librari type support java
Feature  |  is a prerequisite and should be installed as a startup feature.,warn,featur prerequisit instal startup featur
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,warn,empti messag
Error while importing configuration * to profile.,warn,error import configur profil
Could not find a scheduled job with name ,warn,could find schedul job name
Failed to trigger job *,error,fail trigger job
Error executing script,warn,error execut script
Error executing scheduled command *,warn,error execut schedul command
Scheduled job * is neither a job nor a runnable.,error,schedul job neither job runnabl
Exception during job execution of  |  : ,error,except job execut
Error scheduling job,warn,error schedul job
Exception registering the SCR Management MBean: ,error,except regist scr manag mbean
Problem scheduling a proxy creator for service *(*),warn,problem schedul proxi creator servic
Duplicate @Argument annotations on class  |  for index:  |  see: ,warn,duplic argument annot class index see
Could not use value  |  as set of completions!,warn,could use valu set complet
Index out of range on @CompleterValues on class  |  for index:  |  see: ,warn,index rang completervalu class index see
Duplicate @CompleterMethod annotations on class  |  for index:  |  see: ,warn,duplic completermethod annot class index see
Could not invoke @CompleterMethod on  | . ,warn,could invok completermethod
Could not invoke @CompleterMethod on  | . ,warn,could invok completermethod
Failed to release action:  | . ,warn,fail releas action
Duplicate @Argument annotations on class  |  for index:  |  see: ,warn,duplic argument annot class index see
Index out of range on @CompleterValues on class  |  for index:  |  see: ,warn,index rang completervalu class index see
Duplicate @CompleterMethod annotations on class  |  for index:  |  see: ,warn,duplic completermethod annot class index see
Could not use value  |  as set of completions!,warn,could use valu set complet
Could not invoke @CompleterMethod on  | . ,warn,could invok completermethod
Could not invoke @CompleterMethod on  | . ,warn,could invok completermethod
Failed to release action:  | . ,warn,fail releas action
Duplicate @Argument annotations on class  |  for index:  |  see: ,warn,duplic argument annot class index see
Could not use value  |  as set of completions!,warn,could use valu set complet
Index out of range on @CompleterValues on class  |  for index:  |  see: ,warn,index rang completervalu class index see
Duplicate @CompleterMethod annotations on class  |  for index:  |  see: ,warn,duplic completermethod annot class index see
Could not invoke @CompleterMethod on  | . ,warn,could invok completermethod
Could not invoke @CompleterMethod on  | . ,warn,could invok completermethod
Failed to release action:  | . ,warn,fail releas action
Duplicate @Argument annotations on class  |  for index:  |  see: ,warn,duplic argument annot class index see
Index out of range on @CompleterValues on class  |  for index:  |  see: ,warn,index rang completervalu class index see
Duplicate @CompleterMethod annotations on class  |  for index:  |  see: ,warn,duplic completermethod annot class index see
Could not use value  |  as set of completions!,warn,could use valu set complet
Could not invoke @CompleterMethod on  | . ,warn,could invok completermethod
Could not invoke @CompleterMethod on  | . ,warn,could invok completermethod
Failed to release action:  | . ,warn,fail releas action
Problem processing Configuration Event *,error,problem process configur event
can't find the command bundle for scope ,error,ca find command bundl scope
PackageAdmin service is unavailable.,error,packageadmin servic unavail
PackageAdmin service is unavailable.,error,packageadmin servic unavail
Problem refresh the affected shell command bundle,error,problem refresh affect shell command bundl
Problem load the scope bundle map,error,problem load scope bundl map
Exception caught while executing command,error,except caught execut command
Duplicate @Argument annotations on class  |  for index:  |  see: ,warn,duplic argument annot class index see
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,error,empti messag
The wait for bundle  |  being started before destruction has been interrupted.,warn,wait bundl start destruct interrupt
Can't read */org.apache.karaf.shell.cfg file. The completion is set to default.,warn,ca read file complet set default
Problem processing Configuration Event *,error,problem process configur event
Exception caught while executing command,error,except caught execut command
Error closing: ,warn,error close
Unable to start shell,error,unabl start shell
Exception caught while starting SSH server,warn,except caught start ssh server
Exception caught while stopping SSH server,warn,except caught stop ssh server
Configured  |  ' | ' not available,warn,configur avail
Error starting ssh agent for local console,warn,error start ssh agent local consol
Error stopping ssh agent for local console,warn,error stop ssh agent local consol
Failed to parse keypair in *. Attempting to parse it 'directly',warn,fail pars keypair attempt pars
Failed to parse keypair in *. Attempting to parse it as a legacy 'simple' key,warn,fail pars keypair attempt pars legaci key
 is not a 'simple' key either,warn,key either
XSL transformer implementation doesn't support * featurehttp://javax.xml.XMLConstants/property/accessExternalDTD,warn,xsl transform implement support featurehttp
XSL transformer implementation doesn't support * featurehttp://javax.xml.XMLConstants/property/accessExternalStylesheet,warn,xsl transform implement support featurehttp
XSL transformer implementation doesn't support * featurehttp://javax.xml.XMLConstants/property/accessExternalDTD,warn,xsl transform implement support featurehttp
XSL transformer implementation doesn't support * featurehttp://javax.xml.XMLConstants/property/accessExternalStylesheet,warn,xsl transform implement support featurehttp
Error generating filenames,warn,error gener filenam
Error starting activator,warn,error start activ
Error starting activator,warn,error start activ
Bundle ID * is invalid,warn,bundl id invalid
Bundle ID * is invalid,warn,bundl id invalid
Bundle ID * is invalid,warn,bundl id invalid
Account failure,warn,account failur
General Security Exception,error,gener secur except
Error during authentication,warn,error authent
failed to open ,error,fail open
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
Features service is not available,error,featur servic avail
Can't install feature */*,error,ca instal featur
Features service is not available,error,featur servic avail
Can't uninstall feature */*,error,ca uninstal featur
Features service is not available,error,featur servic avail
Can't remove features repository *,error,ca remov featur repositori
Features service is not available,error,featur servic avail
Can't refresh features repository *,error,ca refresh featur repositori
Features service is not available,error,featur servic avail
Can't add features repository *,error,ca add featur repositori
Features service is not available,error,featur servic avail
$$$Empty Message$$$,error,empti messag
Features service is not available,error,featur servic avail
$$$Empty Message$$$,error,empti messag
failed to open ,error,fail open
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
failed to open ,error,fail open
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
failed to open ,error,fail open
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
File already exists. Move it out of the way if you wish to recreate it: *,warn,file alreadi exist move way wish recreat
File already exists. Move it out of the way if you wish to recreate it: *,warn,file alreadi exist move way wish recreat
Could not extract schema from Avro-generated SpecificRecord class *: *.,warn,could extract schema specificrecord class
Invalid command line arguments.,error,invalid command line argument
Program has not been parametrized properly.,error,program parametr properli
Error while running the command.,error,error run command
Fatal error while running command line interface.,error,fatal error run command line interfac
Could not load CLI class *.org.apache.flink.yarn.cli.FlinkYarnSessionCli,warn,could load cli class
"Job was executed in detached mode, the results will be available on completion.",warn,job execut detach mode result avail complet
An error occurred during stopping the WebMonitorRetrievalService,error,error occur stop webmonitorretrievalservic
An error occurred during stopping the ClientHighAvailabilityServices,error,error occur stop clienthighavailabilityservic
Error while closing the Cluster Client,error,error close cluster client
Error while shutting down cluster,error,error shut cluster
Could not retrieve the web interface URL for the cluster.,warn,could retriev web interfac url cluster
Error while closing session.,error,error close session
Error while closing cluster.,error,error close cluster
Error while closing session.,error,error close session
Error while closing cluster.,error,error close cluster
Error while closing session.,error,error close session
Error while closing cluster.,error,error close cluster
Error while closing session.,error,error close session
Error while closing cluster.,error,error close cluster
Error while sending value.,error,error send valu
Sending a value failed.,warn,send valu fail
Error while sending value.,error,error send valu
Error while closing session.,error,error close session
Error while closing cluster.,error,error close cluster
Error while closing session.,error,error close session
Error while closing cluster.,error,error close cluster
Error while closing session.,error,error close session
Error while closing cluster.,error,error close cluster
Error while closing session.,error,error close session
Error while closing cluster.,error,error close cluster
Error while sending value.,error,error send valu
Sending a value failed.,warn,send valu fail
Failed Elasticsearch item request: *,error,fail elasticsearch item request
Failed Elasticsearch bulk request: *,error,fail elasticsearch bulk request
Error while creating FileSystem when initializing the state of the BucketingSink.,error,error creat filesystem initi state bucketingsink
Could not create file for checking if truncate works.,error,could creat file check truncat work
Could not delete truncate test file.,error,could delet truncat test file
Error while restoring BucketingSink state.,error,error restor bucketingsink state
Could not invoke truncate.,error,could invok truncat
Restoring BucketingSink State: Error while renaming pending file * to final path *: *,error,restor bucketingsink state error renam pend file final path
| - Starting it up ....,warn,start
|,error,
| ==================== ,error,
| YOUR TESTS WILL FAIL ,error,test fail
| ==================== ,error,
|,error,
| - PubSub Emulator at *:* FAILED to return an Ok status within * ms 10000,error,pubsub emul fail return ok statu within ms 10000
|    >>> FOUND OLD EMULATOR INSTANCE RUNNING <<< ,warn,found old emul instanc run
| Destroying that one to keep tests running smoothly.,warn,destroy one keep test run smoothli
Error happens when converting hive data type to flink data type.,error,error happen convert hive data type flink data type
Flink does not support converting ColumnStatisticsData '*' for Hive column type '*' yet.,warn,flink support convert columnstatisticsdata hive column type yet
Tear down failed: ,warn,tear fail
$$$Empty Message$$$,error,empti messag
Ignoring configured key DeSerializer (*)key.deserializer,warn,ignor configur key deseri
Ignoring configured value DeSerializer (*)value.deserializer,warn,ignor configur valu deseri
Overwriting the '*' is not recommendedkey.serializer,warn,overwrit
Overwriting the '*' is not recommendedvalue.serializer,warn,overwrit
Property [*] not specified. Setting it to *transaction.timeout.ms,warn,properti specifi set
Error while sending record to Kafka: ,error,error send record kafka
Encountered error * while recovering transaction *. Presumably this transaction has been already committed before,warn,encount error recov transact presum transact alreadi commit
"Using * semantic, but checkpointing is not enabled. Switching to * semantic.",warn,use semant checkpoint enabl switch semant
Error while closing Kafka consumer,warn,error close kafka consum
Committing offsets to Kafka takes longer than the checkpoint interval. Skipping commit of previous offsets because newer complete checkpoint offsets are available. This does not compromise Flink's checkpoint integrity.,warn,commit offset kafka take longer checkpoint interv skip commit previou offset newer complet checkpoint offset avail compromis flink checkpoint integr
Committing offsets to Kafka failed. This does not compromise Flink's checkpoints.,warn,commit offset kafka fail compromis flink checkpoint
Overwriting the '*' is not recommendedkey.serializer,warn,overwrit
Overwriting the '*' is not recommendedvalue.serializer,warn,overwrit
Property [*] not specified. Setting it to *transaction.timeout.ms,warn,properti specifi set
Error while sending record to Kafka: ,error,error send record kafka
Encountered error * while recovering transaction *. Presumably this transaction has been already committed before,warn,encount error recov transact presum transact alreadi commit
"Using * semantic, but checkpointing is not enabled. Switching to * semantic.",warn,use semant checkpoint enabl switch semant
Fetch failed because of ClosedChannelException.,warn,fetch fail closedchannelexcept
Unable to reach broker after * retries. Returning all current partitions,warn,unabl reach broker retri return current partit
Error while closing consumer connection,warn,error close consum connect
* is not the leader of *. Reassigning leader for partition,warn,leader reassign leader partit
The following partitions had an invalid offset: *,warn,follow partit invalid offset
The new partition offsets are *,warn,new partit offset
Error while closing the Kafka simple consumer,error,error close kafka simpl consum
Unable to get last offset for partitions: Exception(s): *,warn,unabl get last offset partit except
Error while getting metadata from broker * to find partitions for *. Error: *.,warn,error get metadata broker find partit error
Error communicating with broker * to find partitions for *. * Message: *,warn,error commun broker find partit messag
Error while getting metadata from broker * to find partitions for *. Error: *.,warn,error get metadata broker find partit error
Received metadata from topic  |  even though it was not requested. Skipping ...,warn,receiv metadata topic even though request skip
Error communicating with broker * to find partitions for *. * Message: *,warn,error commun broker find partit messag
No group offset can be found for partition * in Zookeeper; resetting starting offset to 'auto.offset.reset',warn,group offset found partit zookeep reset start offset
Exception while shutting down consumer threads,error,except shut consum thread
Exception while shutting down ZookeeperOffsetHandler,error,except shut zookeeperoffsethandl
"The offset in ZooKeeper for group '*', topic '*', partition * is a malformed string: *",error,offset zookeep group topic partit malform string
Ignoring configured key DeSerializer (*)key.deserializer,warn,ignor configur key deseri
Ignoring configured value DeSerializer (*)value.deserializer,warn,ignor configur valu deseri
Error while closing Kafka consumer,warn,error close kafka consum
Committing offsets to Kafka takes longer than the checkpoint interval. Skipping commit of previous offsets because newer complete checkpoint offsets are available. This does not compromise Flink's checkpoint integrity.,warn,commit offset kafka take longer checkpoint interv skip commit previou offset newer complet checkpoint offset avail compromis flink checkpoint integr
Committing offsets to Kafka failed. This does not compromise Flink's checkpoints.,warn,commit offset kafka fail compromis flink checkpoint
Consumer subtask * cannot find offsets for the following * partitions in the specified startup offsets: *; their startup offsets will be defaulted to their committed group offsets in Kafka.,warn,consum subtask find offset follow partit specifi startup offset startup offset default commit group offset kafka
Consumer subtask %d failed async Kafka commit.,warn,consum subtask fail async kafka commit
Consumer subtask * received confirmation for unknown checkpoint id *,warn,consum subtask receiv confirm unknown checkpoint id
Overwriting the '*' is not recommendedkey.serializer,warn,overwrit
Overwriting the '*' is not recommendedvalue.serializer,warn,overwrit
"Flushing on checkpoint is enabled, but checkpointing is not enabled. Disabling flushing.",warn,flush checkpoint enabl checkpoint enabl disabl flush
Error while sending record to Kafka: ,error,error send record kafka
Record was not sent successful,warn,record sent success
An exception occurred while processing a record,warn,except occur process record
No target stream set. Skipping record,warn,target stream set skip record
An exception was thrown while processing a record: *,warn,except thrown process record
"Waiting for the queue length to drop below the limit takes unusually long, still not done after * attempts.",warn,wait queue length drop limit take unusu long still done attempt
Flushing was interrupted.,warn,flush interrupt
Flushing was interrupted.,warn,flush interrupt
Error while closing Kinesis data fetcher,warn,error close kinesi data fetcher
Encountered an unexpected expired iterator * for shard *; refreshing the iterator ...,warn,encount unexpect expir iter shard refresh iter
Subtask * has failed to find any shards for the following subscribed streams: *,warn,subtask fail find shard follow subscrib stream
Skipping non-deserializable record at sequence number * of shard *.,warn,skip record sequenc number shard
Got recoverable SdkClientException. Backing off for  |  millis ( | :  | ),warn,got recover sdkclientexcept back milli
Got recoverable AmazonServiceException. Backing off for  |  millis ( | :  | ),warn,got recover amazonserviceexcept back milli
Got LimitExceededException when listing shards from stream  | . Backing off for  |  millis.,warn,got limitexceededexcept list shard stream back milli
List Shards has an expired token. Reusing the previous state.,warn,list shard expir token reus previou state
Got SdkClientException when listing shards from stream *. Backing off for * millis.,warn,got sdkclientexcept list shard stream back milli
Got LimitExceededException when describing stream %s.  | Backing off for %d millis.,warn,got limitexceededexcept describ stream back milli
The status of stream %s is %s ; result of the current  | describeStream operation will not contain any shard information.,warn,statu stream result current describestream oper contain shard inform
"A transaction could not be created, waiting and will try again...",warn,transact could creat wait tri
Cannot send RMQ message * at *,error,send rmq messag
Both channel and connection closing failed. Logging channel exception and failing with connection exception,warn,channel connect close fail log channel except fail connect except
Failed to parse uri,error,fail pars uri
Failed to initialize ssl context.,error,fail initi ssl context
Failed to setup ssl factory.,error,fail setup ssl factori
Error: '*'.,error,error
Error #*: '*'.,error,error
UNKNOWN:  |   |   |  ,warn,unknown
Could not parse command line arguments *.,error,could pars command line argument
In file \ | \ | )  |  invalid line(s) were skipped.,warn,file invalid line skip
Invalid default maximum number of line samples:  | . Using default value of ,error,invalid default maximum number line sampl use default valu
Invalid default minimum number of line samples:  | . Using default value of ,error,invalid default minimum number line sampl use default valu
"Default minimum number of line samples cannot be greater the default maximum number  | of line samples: min= | , max= | . Defaulting minimum to maximum.",error,default minimum number line sampl greater default maximum number line sampl default minimum maximum
Invalid value for the maximum sample record length. Using default value of ,error,invalid valu maximum sampl record length use default valu
Increasing maximum sample record length to size of the read buffer ( | ).,warn,increas maximum sampl record length size read buffer
Invalid value for number of samples to take:  | . Skipping sampling.,warn,invalid valu number sampl take skip sampl
Could not determine statistics for files ' | '  | due to an io error: ,warn,could determin statist file due io error
Unexpected problem while getting the file statistics for files ' | ': ,error,unexpect problem get file statist file
Could not properly close FileOutputFormat.,error,could properli close fileoutputformat
Could not remove the incomplete file ,error,could remov incomplet file
Invalid timeout value for filesystem stream opening:  | . Using default value of ,error,invalid timeout valu filesystem stream open use default valu
"Overwriting an existing decompression algorithm for ""*"" files.",warn,overwrit exist decompress algorithm file
Could not determine statistics for paths ' | ' due to an io error: ,warn,could determin statist path due io error
Unexpected problem while getting the file statistics for paths ' | ': ,error,unexpect problem get file statist path
Minimal split size of  |  is larger than the block size of  | . Decreasing minimal split size to block size.,warn,minim split size larger block size decreas minim split size block size
"With the given block size %d, the files %s cannot be split into %d blocks. Filling up with empty splits...",warn,given block size file split block fill empti split
Could not determine complete statistics for files '%s' due to an I/O error,warn,could determin complet statist file due error
Unexpected problem while getting the file statistics for files '%s',error,unexpect problem get file statist file
Could not read a requested serializer. Replaced with a UnloadableDummyTypeSerializer.,warn,could read request serial replac unloadabledummytypeseri
"Cannot extract type of Row field, because of Row field[ | ] is null.  | Should define RowTypeInfo explicitly.",warn,extract type row field row field null defin rowtypeinfo explicitli
Cannot find registered class  |  for Kryo serialization in classpath; |  using a dummy class as a placeholder.,warn,find regist class kryo serial classpath use dummi class placehold
Cannot find registered Kryo serializer class for class  |  in classpath; using a dummy Kryo serializer that should be replaced as soon as |  a new Kryo serializer for the class is present,warn,find regist kryo serial class class classpath use dummi kryo serial replac soon new kryo serial class present
Cannot find registered Kryo serializer class for class  |  in classpath; using a dummy Kryo serializer that should be replaced as soon as |  a new Kryo serializer for the class is present,warn,find regist kryo serial class class classpath use dummi kryo serial replac soon new kryo serial class present
The registered Kryo serializer class for class  |  has changed and is no longer valid; using a dummy Kryo serializer that should be replaced |  as soon as a new Kryo serializer for the class is present.,warn,regist kryo serial class class chang longer valid use dummi kryo serial replac soon new kryo serial class present
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,warn,empti messag
Cannot find registered class  |  for Kryo serialization in classpath; |  using a dummy class as a placeholder.,warn,find regist class kryo serial classpath use dummi class placehold
Cannot find registered Kryo serializer class for class  |  in classpath; using a dummy Kryo serializer that should be replaced as soon as |  a new Kryo serializer for the class is present,warn,find regist kryo serial class class classpath use dummi kryo serial replac soon new kryo serial class present
Cannot find registered Kryo serializer class for class  |  in classpath; using a dummy Kryo serializer that should be replaced as soon as |  a new Kryo serializer for the class is present,warn,find regist kryo serial class class classpath use dummi kryo serial replac soon new kryo serial class present
The registered Kryo serializer class for class  |  has changed and is no longer valid; using a dummy Kryo serializer that should be replaced |  as soon as a new Kryo serializer for the class is present.,warn,regist kryo serial class class chang longer valid use dummi kryo serial replac soon new kryo serial class present
Cannot find registered class  |  for Kryo serialization in classpath.,warn,find regist class kryo serial classpath
Cannot deserialize a previously serialized kryo serializer for the type ,warn,deseri previous serial kryo serial type
Falling back to default Kryo serializer because Chill serializer couldn't be found.,warn,fall back default kryo serial chill serial could found
Configuration cannot evaluate value  |  as a class name,warn,configur evalu valu class name
Configuration cannot evaluate value * as a byte[] value,warn,configur evalu valu byte valu
Config uses deprecated configuration key '*' instead of proper key '*',warn,config use deprec configur key instead proper key
Configuration value * overflows/underflows the integer type.,warn,configur valu integ type
Configuration cannot evaluate value * as an integer number,warn,configur evalu valu integ number
Configuration cannot evaluate value  |  as a long integer number,warn,configur evalu valu long integ number
Configuration value * overflows/underflows the float type.,warn,configur valu float type
Configuration cannot evaluate value * as a float value,warn,configur evalu valu float valu
Configuration cannot evaluate value * as a double value,warn,configur evalu valu doubl valu
Error while trying to split key and value in configuration file  | : | : \ | \,warn,error tri split key valu configur file
Error after splitting key and value in configuration file  | : | : \ | \,warn,error split key valu configur file
Closing unclosed resource via safety-net: *,warn,close unclos resourc via
Failed to load additional file systems via services,error,fail load addit file system via servic
Failed to load a file system via services,error,fail load file system via servic
Flink's Hadoop file system factory could not be loaded,warn,flink hadoop file system factori could load
Flink's Hadoop file system factory could not be created,warn,flink hadoop file system factori could creat
Could not resolve local host,error,could resolv local host
Environment variable [*] is set to [*] but the directory doesn't existFLINK_PLUGINS_DIR,warn,environ variabl set directori
$$$Empty Message$$$,warn,empti messag
ExecutorService did not terminate in time. Shutting it down now.,warn,executorservic termin time shut
Interrupted while shutting down executor services. Shutting all remaining ExecutorServices down now.,warn,interrupt shut executor servic shut remain executorservic
Cannot register shutdown hook that cleanly terminates *.,error,regist shutdown hook cleanli termin
Exception while un-registering *'s shutdown hook.,warn,except shutdown hook
"Ignoring serialVersionUID mismatch for class *; was *, now *.",warn,ignor serialversionuid mismatch class
Failed to generate message schema for class *.,error,fail gener messag schema class
Failed to write message schema for class *.,error,fail write messag schema class
Unexpected SecurityException in Configuration,warn,unexpect securityexcept configur
Regular expression ' | ' for property ' | ' not valid. Using default,warn,regular express properti valid use default
Could not make  |  in local directories from ,warn,could make local directori
[ | ]=,warn,
error parsing conf ,error,error pars conf
error parsing conf ,error,error pars conf
:an attempt to override final parameter:  | ;  Ignoring.,warn,attempt overrid final paramet ignor
Could not determine statistics due to an io error: ,warn,could determin statist due io error
Unexpected problem while getting the file statistics: ,error,unexpect problem get file statist
Could not determine statistics due to an io error: ,warn,could determin statist due io error
Unexpected problem while getting the file statistics: ,error,unexpect problem get file statist
Hadoop configuration has not been explicitly initialized prior to loading a Hadoop file system. Using configuration from the classpath.,warn,hadoop configur explicitli initi prior load hadoop file system use configur classpath
Flink configuration is not set prior to loading this configuration. Cannot forward configuration keys from Flink configuration.,warn,flink configur set prior load configur forward configur key flink configur
Error instantiating a new HTable instance,error,error instanti new htabl instanc
Error after scan of  |  rows. Retry with a new scanner...,warn,error scan row retri new scanner
can not connect to HBase without * configurationhbase.zookeeper.quorum,error,connect hbase without
Table '*' not found ,error,tabl found
Exception while creating connection to HBase.,error,except creat connect hbase
exception when close table,warn,except close tabl
exception when close connection,warn,except close connect
